timestamp,action,task_id,task_name,user,params_summary,result
2026-01-14T07:10:34.246Z,legion_update_tasks,opencode-feishu-plugin,opencode-feishu-plugin,Claude,completeTask: phase 3,success
2026-01-14T07:10:37.851Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addFile: .github/workflows/release.yml,success
2026-01-14T07:36:06.176Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addFile: .gitignore,success
2026-01-14T07:57:42.935Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addFile: scripts/setup.sh,success
2026-01-14T07:59:50.126Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addDecision: 使用 tsup banner 添加 shebang 以支持 npm bin 执行,success
2026-01-14T08:08:50.559Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addDecision: 插件配置从 opencode.json 的 feishuNotifier 字段读取,success
2026-01-14T08:10:28.021Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addFile: scripts/setup.mjs,success
2026-01-14T08:11:04.479Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addFile: scripts/setup.sh,success
2026-01-14T08:23:54.758Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addDecision: 配置文件从 opencode.json 迁移为 feishu-notifier.json，避免 opencode 配置校验失败,success
2026-01-14T08:38:56.910Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,progress.completed: 新增 debug 日志输出（配置来源/事件/发送结果）,success
2026-01-14T08:41:57.808Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addDecision: 移除 npm bin setup CLI，避免额外发布入口,success
2026-01-14T08:59:50.298Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addDecision: 发布 TypeScript 源码并声明 bun 引擎,success
2026-01-14T09:02:39.109Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,addFile: .github/workflows/release.yml,success
2026-01-14T09:08:23.861Z,legion_update_context,opencode-feishu-plugin,opencode-feishu-plugin,Claude,progress.completed: CI 触发方式改回 push master，并加入版本检查跳过发布,success
